ticker;name;asset_type;universe;source;active;weight;weight_percent;shares_held;identifier;sedol;sector;currency;as_of_date;source_url;notes
AAPL;APPLE INC;equity;sp500_value;State Street SPYV official daily holdings;TRUE;776538900;7765389;8835894;037833100;2046251;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
AMZN;AMAZON.COM INC;equity;sp500_value;State Street SPYV official daily holdings;TRUE;427530700;4275307;5526633;023135106;2000019;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
XOM;EXXON MOBIL CORP;equity;sp500_value;State Street SPYV official daily holdings;TRUE;225101900;2251019;5030469;30231G102;2326618;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
INTC;INTEL CORP;equity;sp500_value;State Street SPYV official daily holdings;TRUE;192996000;1929960;5652008;458140100;2463247;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
WMT;WALMART INC;equity;sp500_value;State Street SPYV official daily holdings;TRUE;184500600;1845006;5276752;931142103;2936921;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
COST;COSTCO WHOLESALE CORP;equity;sp500_value;State Street SPYV official daily holdings;TRUE;161746800;1617468;534359;22160K105;2701271;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
TSLA;TESLA INC;equity;sp500_value;State Street SPYV official daily holdings;TRUE;154900400;1549004;1286486;88160R101;B616C79;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
CVX;CHEVRON CORP;equity;sp500_value;State Street SPYV official daily holdings;TRUE;124197800;1241978;2256475;166764100;2838555;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
UNH;UNITEDHEALTH GROUP INC;equity;sp500_value;State Street SPYV official daily holdings;TRUE;120176000;1201760;1090390;91324P102;2917766;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
BAC;BANK OF AMERICA CORP;equity;sp500_value;State Street SPYV official daily holdings;TRUE;118514500;1185145;7987693;060505104;2295677;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
PG;PROCTER + GAMBLE CO/THE;equity;sp500_value;State Street SPYV official daily holdings;TRUE;115601600;1156016;2797612;742718109;2704407;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
HD;HOME DEPOT INC;equity;sp500_value;State Street SPYV official daily holdings;TRUE;108358800;1083588;1198428;437076102;2434209;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
MRK;MERCK + CO. INC.;equity;sp500_value;State Street SPYV official daily holdings;TRUE;99769000;997690;2987857;58933Y105;2778844;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
TXN;TEXAS INSTRUMENTS INC;equity;sp500_value;State Street SPYV official daily holdings;TRUE;93938700;939387;1092529;882508104;2885409;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
JPM;JPMORGAN CHASE + CO;equity;sp500_value;State Street SPYV official daily holdings;TRUE;90687000;906870;1038665;46625H100;2190385;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
V;VISA INC CLASS A SHARES;equity;sp500_value;State Street SPYV official daily holdings;TRUE;86898000;868980;910746;92826C839;B2PZN04;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
LIN;LINDE PLC;equity;sp500_value;State Street SPYV official daily holdings;TRUE;83337400;833374;562107;G54950103;BNZHB81;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
WFC;WELLS FARGO + CO;equity;sp500_value;State Street SPYV official daily holdings;TRUE;81446300;814463;3722958;949746101;2649100;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
JNJ;JOHNSON + JOHNSON;equity;sp500_value;State Street SPYV official daily holdings;TRUE;79425900;794259;1189468;478160104;2475833;-;USD;21/05/2026;https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spyv.xlsx;
