ticker,company_name,asset_type,universe_name,source_type,source_name,strategy_role,account_target,target_weight,sector,industry,cusip,cik,date_added,as_of_date,notes,active
AAPL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.07765389,-,,,,,21/05/2026,,True
AMZN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.04275307,-,,,,,21/05/2026,,True
XOM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.02251019,-,,,,,21/05/2026,,True
INTC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0192996,-,,,,,21/05/2026,,True
WMT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.01845006,-,,,,,21/05/2026,,True
COST,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.01617468,-,,,,,21/05/2026,,True
TSLA,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.01549004,-,,,,,21/05/2026,,True
CVX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.01241978,-,,,,,21/05/2026,,True
UNH,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0120176,-,,,,,21/05/2026,,True
BAC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.01185145,-,,,,,21/05/2026,,True
PG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.01156016,-,,,,,21/05/2026,,True
HD,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.01083588,-,,,,,21/05/2026,,True
MRK,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0099769,-,,,,,21/05/2026,,True
TXN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00939387,-,,,,,21/05/2026,,True
JPM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0090687,-,,,,,21/05/2026,,True
V,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0086898,-,,,,,21/05/2026,,True
LIN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00833374,-,,,,,21/05/2026,,True
WFC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00814463,-,,,,,21/05/2026,,True
JNJ,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00794259,-,,,,,21/05/2026,,True
QCOM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00789565,-,,,,,21/05/2026,,True
CSCO,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00761113,-,,,,,21/05/2026,,True
C,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00759085,-,,,,,21/05/2026,,True
ABBV,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00710118,-,,,,,21/05/2026,,True
VZ,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00706131,-,,,,,21/05/2026,,True
PEP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00705687,-,,,,,21/05/2026,,True
ADI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00651184,-,,,,,21/05/2026,,True
NEE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00647962,-,,,,,21/05/2026,,True
DIS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00636544,-,,,,,21/05/2026,,True
KO,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00632267,-,,,,,21/05/2026,,True
T,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00615387,-,,,,,21/05/2026,,True
TMO,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0058578,-,,,,,21/05/2026,,True
CRM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0057313,-,,,,,21/05/2026,,True
WDC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00572032,-,,,,,21/05/2026,,True
UNP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.005461,-,,,,,21/05/2026,,True
ORCL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00535657,-,,,,,21/05/2026,,True
BLK,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00532107,-,,,,,21/05/2026,,True
ABT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00529461,-,,,,,21/05/2026,,True
GE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00526784,-,,,,,21/05/2026,,True
SCHW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00523664,-,,,,,21/05/2026,,True
ETN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00513853,-,,,,,21/05/2026,,True
COP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00512148,-,,,,,21/05/2026,,True
PFE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00511618,-,,,,,21/05/2026,,True
HON,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00492733,-,,,,,21/05/2026,,True
PLD,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00466219,-,,,,,21/05/2026,,True
MA,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00465517,-,,,,,21/05/2026,,True
DE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00464663,-,,,,,21/05/2026,,True
PM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00447631,-,,,,,21/05/2026,,True
MO,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00429108,-,,,,,21/05/2026,,True
LOW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00422898,-,,,,,21/05/2026,,True
BMY,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00420528,-,,,,,21/05/2026,,True
CB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00416497,-,,,,,21/05/2026,,True
CVS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00411729,-,,,,,21/05/2026,,True
SBUX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00411411,-,,,,,21/05/2026,,True
COF,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00404644,-,,,,,21/05/2026,,True
IBM,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00393561,-,,,,,21/05/2026,,True
MCD,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00393014,-,,,,,21/05/2026,,True
VRTX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00381952,-,,,,,21/05/2026,,True
ACN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00379557,-,,,,,21/05/2026,,True
DHR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00378129,-,,,,,21/05/2026,,True
EQIX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00367207,-,,,,,21/05/2026,,True
LMT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0036695,-,,,,,21/05/2026,,True
GS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00359883,-,,,,,21/05/2026,,True
SO,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00359862,-,,,,,21/05/2026,,True
ADBE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0034746,-,,,,,21/05/2026,,True
MDT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00347443,-,,,,,21/05/2026,,True
DUK,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00336204,-,,,,,21/05/2026,,True
BA,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00335065,-,,,,,21/05/2026,,True
SNPS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00334198,-,,,,,21/05/2026,,True
WMB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00328459,-,,,,,21/05/2026,,True
MS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00326196,-,,,,,21/05/2026,,True
MCK,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00325639,-,,,,,21/05/2026,,True
TMUS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00313691,-,,,,,21/05/2026,,True
CMCSA,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00312094,-,,,,,21/05/2026,,True
PANW,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00311692,-,,,,,21/05/2026,,True
FCX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00310409,-,,,,,21/05/2026,,True
BX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00307733,-,,,,,21/05/2026,,True
ADP,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00307214,-,,,,,21/05/2026,,True
PNC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00305711,-,,,,,21/05/2026,,True
ICE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00298385,-,,,,,21/05/2026,,True
AMT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00298206,-,,,,,21/05/2026,,True
